Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Functional Strength Training","2021-03-18 22:56","2021-03-18 23:29","0:33:50",,"81,47381749674673","89,52027972027979",,,,"80,36400000000003","149,16099999999994",,,"2,9999999205271592","88"
"Outdoor Running","2021-03-17 17:08","2021-03-17 18:11","1:03:28","13,01918447983459","161,94596966110507","168,80657680464157","0:04:52","12,307556748687182",,"939,241","1057,571","272,85",,"4,999999867545284","58"
"Outdoor Running","2021-03-14 10:13","2021-03-14 13:37","3:10:48","33,878360862705854","153,32577594473562","168,49972768710492","0:05:37","10,65353618289078",,"2341,0200000000004","2678,919999999999","391,8",,"2,9999999205271592","94"
"Outdoor Running","2021-03-10 16:59","2021-03-10 17:57","0:58:15","11,850700488355557","158,58813069894495","169,90839177970335","0:04:54","12,204677468475914",,"815,887","928,1639999999998","122,3",,"9,999999735090512","57"
"Outdoor Running","2021-03-07 15:19","2021-03-07 16:44","1:25:27","16,298390895844438","157,84875088015974","165,43998715306498","0:05:14","11,442206706495925",,"1212,3210000000001","1367,1009999999999","361,35",,"7,999999788072387","33"
"Outdoor Running","2021-03-05 16:25","2021-03-05 17:33","1:08:17","13,072773722786456","151,77256383928454","159,0805908543723","0:05:13","11,485497446915874",,"956,2920000000001","1083,614","271,82",,"5,9999998410543185","53"
"Outdoor Running","2021-03-03 16:05","2021-03-03 17:15","1:07:59","13,118412780156904","157,96524641091438","170,3633387072601","0:05:10","11,575748929948572",,"972,7569999999998","1102,7969999999996","269,27",,"12,999999655617671","48"
"Outdoor Running","2021-02-28 16:40","2021-02-28 17:45","1:04:53","12,424232947600075","153,33911755240894","163,1303234673107","0:05:13","11,487744477466798",,"940,744","1063,116","267,02",,"9,999999735090512","47"
"Outdoor Running","2021-02-25 14:29","2021-02-25 16:51","2:08:36","21,515949292177467","145,5361648639909","160,79501612439313","0:05:58","10,037854234761546",,"1645,7109999999996","1882,2869999999984","562,95",,"17,9999995231629","39"
"Outdoor Running","2021-02-24 17:16","2021-02-24 17:58","0:42:19","8,918653656591662","152,06783397471233","155,48766271021003","0:04:44","12,641379460917975",,"570,4809999999999","656,5439999999998","26,78",,"17,9999995231629","54"
"Functional Strength Training","2021-02-22 21:52","2021-02-22 22:40","0:48:11",,"82,86932922874155","90,2965571205008",,,,"132,25200000000004","224,21299999999994",,,"4,999999867545284","87"
"Outdoor Running","2021-02-21 16:06","2021-02-21 18:10","2:03:50","24,249146280348345","162,97357589030744","169,30294958030166","0:05:06","11,747938362740955",,"1742,3210000000001","1954,0689999999997","449,6",,"16,999999549653808","47"
"Hiking","2021-02-20 13:35","2021-02-20 16:26","1:40:32","5,344253970037846","90,86175448812185","103,28027950310559","0:18:48","3,1891842557111496",,"409,76900000000006","695,8309999999944","201,47",,"14,99999960263574","49"
"Outdoor Running","2021-02-19 16:21","2021-02-19 17:14","0:52:40","10,63654189318031","152,945174473551","156,8788799567705","0:04:57","12,114632698401257",,"711,353","814,9179999999999","81,21000000000001",,"10,999999708599546","67"
"Functional Strength Training","2021-02-18 22:31","2021-02-18 23:36","1:05:42",,"75,50333815454267","90,49241466498104",,,,"139,4530000000001","242,5479999999999",,,"7,999999788072387","74"
"Outdoor Running","2021-02-17 16:15","2021-02-17 17:22","1:06:36","13,074537177698595","162,00909881638978","168,31126046286286","0:05:05","11,77776672453602",,"970,0800000000002","1091,896","267,64",,"9,999999735090512","69"
"Functional Strength Training","2021-02-15 19:52","2021-02-15 20:25","0:33:27",,"103,34387491198828","106,05758807588076",,,,"140,55900000000003","211,42099999999994",,,"0,999999973509091","90"
"Outdoor Running","2021-02-14 16:52","2021-02-14 17:34","0:42:25","8,650694441843777","153,23417596399818","158,83800172942858","0:04:54","12,233510081546438",,"570,7529999999999","656,6069999999999","36,47",,"0,999999973509091","45"
"Outdoor Running","2021-02-12 16:15","2021-02-12 17:05","0:50:08","9,833677953273058","156,64810190712177","162,2917460501231","0:05:05","11,766919403888318",,"697,492","793,8319999999999","126,19",,"-1,9999999470180683","54"
"Outdoor Running","2021-02-10 16:03","2021-02-10 17:20","1:16:17","14,071901397139765","151,2402727995655","159,8775121839986","0:05:25","11,067845654558214",,"1017,0239999999999","1158,6159999999998","280,19",,"-4,999999867545171","63"
"Functional Strength Training","2021-02-08 21:22","2021-02-08 22:01","0:39:26",,"97,90100833206988","99,22295321637425",,,,"148,09100000000004","225,72899999999993",,,"-5,999999841054262","86"
"Outdoor Running","2021-02-07 16:22","2021-02-07 17:30","1:08:15","13,18213132680973","157,14272426028916","162,9107008819751","0:05:10","11,587201927648287",,"969,8380000000001","1096,8629999999998","272,9",,"0,999999973509091","100"
"Traditional Strength Training","2021-02-06 21:05","2021-02-06 21:52","0:46:02",,"87,52346327946132","97,03372681281617",,,,"185,0780000000001","272,14700000000005",,,"3,9999998940362502","92"
"Outdoor Running","2021-02-05 16:30","2021-02-05 17:30","1:00:10","11,894302767693997","153,2650651923077","160,4000318468198","0:05:03","11,8608782395612",,"809,9520000000001","922,976","122,18",,"6,999999814563353","98"
"Outdoor Running","2021-02-03 16:05","2021-02-03 17:16","1:10:53","12,96302250166949","158,66615714435483","166,22848873628573","0:05:28","10,970397796580942",,"975,5299999999999","1104,6849999999997","270,73",,"11,99999968210858","84"
"Traditional Strength Training","2021-02-02 23:17","2021-02-02 23:55","0:38:27",,"87,46420390930221","92,4585253456221",,,,"155,05900000000014","235,17200000000008",,,"8,999999761581478","96"
"Traditional Strength Training","2021-02-01 23:36","2021-02-02 00:03","0:26:54",,"78,84480231083505","89,60925925925926",,,,"106,76200000000004","146,01800000000003",,,"3,9999998940362502","99"
"Traditional Strength Training","2021-01-31 21:38","2021-01-31 22:26","0:47:41",,"85,27396144465023","97,30271668822772",,,,"189,30300000000014","279,5060000000001",,,"1,9999999470181251","89"
"Outdoor Running","2021-01-31 11:00","2021-01-31 11:41","0:40:58","7,905010899202845","152,53013283594132","159,21366808505604","0:05:10","11,577005006528246",,"533,268","616,3449999999999","62,77",,"-0,9999999735090341","92"
"Outdoor Running","2021-01-29 16:16","2021-01-29 17:14","0:58:24","11,356101928062737","154,71798450245439","170,11925166868315","0:05:08","11,664094744381831",,"764,18","875,3169999999998","81,26",,"7,999999788072387","88"
"Outdoor Running","2021-01-27 16:34","2021-01-27 17:18","0:43:54","8,922313328245655","159,65594820755655","166,95450639254312","0:04:55","12,190622210785698",,"570,773","656,0229999999999","28,61",,"0,999999973509091","95"
"Traditional Strength Training","2021-01-25 21:46","2021-01-25 22:38","0:52:21",,"94,43875396068796","98,64814814814814",,,,"212,26700000000017","313,64900000000006",,,"0,999999973509091","92"
"Outdoor Running","2021-01-24 16:23","2021-01-24 17:38","1:14:44","12,987968331414274","153,3431878713465","159,8356960686924","0:05:45","10,425154054112834",,"992,1089999999999","1127,1259999999997","276,94",,"1,9999999470181251","85"
"Traditional Strength Training","2021-01-23 22:50","2021-01-23 23:26","0:35:39",,"87,40077309636314","91,61173184357541",,,,"141,3100000000001","212,80500000000004",,,"2,9999999205271592","87"
"Outdoor Running","2021-01-22 14:33","2021-01-22 15:16","0:43:22","8,918939564023168","154,32817639325245","159,87456122936823","0:04:51","12,338307232814078",,"574,4359999999999","660,8139999999999","29,86",,"3,9999998940362502","89"
"Outdoor Running","2021-01-21 12:20","2021-01-21 13:44","1:24:50","16,16481260261595","161,73995369413737","179,37503832522296","0:05:14","11,432552965825579",,"1220,891","1371,6829999999998","359,55",,"8,999999761581478","79"
"Outdoor Running","2021-01-17 13:29","2021-01-17 14:38","1:09:05","13,112971886034124","158,27535894789818","164,30621819188673","0:05:16","11,387132210323236",,"977,4139999999998","1103,6579999999997","279,77",,"0,999999973509091","86"
